Zip;District;City;State;Region;Country
2350;"District #02";"Monponsett, MA";"MA";"East";"USA"
2351;"District #02";"Abington, MA";"MA";"East";"USA"
2355;"District #02";"North Carver, MA";"MA";"East";"USA"
2356;"District #02";"North Easton, MA";"MA";"East";"USA"
2357;"District #02";"North Easton, MA";"MA";"East";"USA"
2358;"District #02";"North Pembroke, MA";"MA";"East";"USA"
2359;"District #02";"Pembroke, MA";"MA";"East";"USA"
2360;"District #02";"Plymouth, MA";"MA";"East";"USA"
2361;"District #02";"Plymouth, MA";"MA";"East";"USA"
2362;"District #02";"Plymouth, MA";"MA";"East";"USA"
2364;"District #02";"Kingston, MA";"MA";"East";"USA"
2366;"District #02";"South Carver, MA";"MA";"East";"USA"
2367;"District #02";"Plympton, MA";"MA";"East";"USA"
2368;"District #02";"Randolph, MA";"MA";"East";"USA"
2370;"District #02";"Rockland, MA";"MA";"East";"USA"
2375;"District #02";"South Easton, MA";"MA";"East";"USA"
2379;"District #02";"West Bridgewater, MA";"MA";"East";"USA"
2381;"District #02";"White Horse Beach, MA";"MA";"East";"USA"
2382;"District #02";"Whitman, MA";"MA";"East";"USA"
2532;"District #02";"Buzzards Bay, MA";"MA";"East";"USA"
2534;"District #02";"Cataumet, MA";"MA";"East";"USA"
2535;"District #02";"Chilmark, MA";"MA";"East";"USA"
2536;"District #02";"East Falmouth, MA";"MA";"East";"USA"
2537;"District #02";"East Sandwich, MA";"MA";"East";"USA"
2538;"District #02";"East Wareham, MA";"MA";"East";"USA"
2539;"District #02";"Edgartown, MA";"MA";"East";"USA"
2540;"District #02";"Falmouth, MA";"MA";"East";"USA"
2541;"District #02";"Falmouth, MA";"MA";"East";"USA"
2542;"District #02";"Buzzards Bay, MA";"MA";"East";"USA"
2543;"District #02";"Woods Hole, MA";"MA";"East";"USA"
2552;"District #02";"Menemsha, MA";"MA";"East";"USA"
2553;"District #02";"Monument Beach, MA";"MA";"East";"USA"
2554;"District #02";"Nantucket, MA";"MA";"East";"USA"
2556;"District #02";"North Falmouth, MA";"MA";"East";"USA"
2557;"District #02";"Oak Bluffs, MA";"MA";"East";"USA"
